|=======================================================================================================================|
|     Epoch    |   Iteration  | Time Elapsed |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  | Base Learning|
|              |              |  (seconds)   |     Loss     |     Loss     |   Accuracy   |   Accuracy   |     Rate     |
|=======================================================================================================================|
|            1 |            1 |         4.49 |       0.6964 |       0.6885 |       52.00% |       51.33% |       0.0100 |
|            1 |            2 |        20.90 |       0.6942 |              |       46.00% |              |       0.0100 |
|            1 |            3 |        23.30 |       0.6613 |              |       82.00% |              |       0.0100 |
|            1 |            4 |        25.75 |       0.6457 |              |       74.00% |              |       0.0100 |
|            1 |            5 |        28.16 |       0.6111 |              |       82.00% |              |       0.0100 |
|            1 |            6 |        30.99 |       0.5453 |              |       88.00% |              |       0.0100 |
|            1 |            7 |        33.32 |       0.5256 |              |       80.00% |              |       0.0100 |
|            1 |            8 |        35.94 |       0.3601 |       0.4133 |       88.00% |       82.83% |       0.0100 |
|            1 |            9 |        48.69 |       0.4485 |              |       84.00% |              |       0.0100 |
|            1 |           10 |        51.60 |       0.2817 |              |       88.00% |              |       0.0100 |
|            1 |           11 |        53.83 |       0.1173 |              |       98.00% |              |       0.0100 |
|            1 |           12 |        56.20 |       0.3167 |              |       86.00% |              |       0.0100 |
|            1 |           13 |        58.48 |       0.3288 |              |       90.00% |              |       0.0100 |
|            1 |           14 |        61.18 |       0.3725 |              |       88.00% |              |       0.0100 |
|            1 |           15 |        63.37 |       0.5306 |              |       86.00% |              |       0.0100 |
|            1 |           16 |        65.72 |       0.0459 |       0.2917 |       98.00% |       89.00% |       0.0100 |
|            1 |           17 |        78.61 |       0.2218 |              |       90.00% |              |       0.0100 |
|            1 |           18 |        81.02 |       0.2313 |              |       90.00% |              |       0.0100 |
|            1 |           19 |        83.47 |       0.3853 |              |       88.00% |              |       0.0100 |
|            1 |           20 |        85.97 |       0.4873 |              |       86.00% |              |       0.0100 |
|            1 |           21 |        88.32 |       0.0643 |              |       96.00% |              |       0.0100 |
|            1 |           22 |        91.08 |       0.7932 |              |       84.00% |              |       0.0100 |
